levels,tid,phoneticword,pid,code,word,translation,definition,refn,code_status,ontology_branches
L6,1387,kuNapagandhi-ArtavaduShTiH,1383,EL-3.4,कुणपगन्धि-आर्तवदुष्टिः,cadaveric odourआर्तवदुष्टि ,"the disorder is characterized by दोष वर्ण (आर्तव) [characteristics of artava will be similar to corresponding दोष], दोष वेदना [characteristics of pain will be similar to corresponding दोष], कुणपगन्धि [menstrual blood posses cadaveric smell], अनल्पं [large in quantity] ",,Active,
L6,1388,granthiBUta-ArtavaduShTiH,1383,EL-3.5,ग्रन्थिभूत-आर्तवदुष्टिः,आर्तवदुष्टि with clots ,"the disorder is characterized by दोष वर्ण (आर्तव) [characteristics of आर्तव will be similar to corresponding दोष], दोष वेदना [characteristics of pain will be similar to corresponding दोष], ग्रन्थिभूतं [menstrual flow with clots] ",,Active,
L6,1389,pUtipUya-ArtavaduShTiH,1383,EL-3.6,पूतिपूय-आर्तवदुष्टिः,putrid smellआर्तवदुष्टि ,"the disorder is characterized by दोष वर्ण (आर्तव) [characteristics of आर्तव will be similar to corresponding दोष], दोष वेदना [characteristics of pain will be similar to corresponding दोष], पूतिनिभं [menstrual flow having putrid odour], पूयनिभं [resembling pus] ",,Active,
L6,1390,kShINa-ArtavaduShTiH,1383,EL-3.7,क्षीण-आर्तवदुष्टिः,scanty flowआर्तवदुष्टि ,"the disorder is characterized by दोष वर्ण (आर्तव) [characteristics of artava will be similar to corresponding दोष], दोष वेदना [characteristics of pain will be similar to corresponding दोष], क्षीणं [low menstrual flow] ",,Active,
L6,1391,mUtrapurIShagandha-ArtavaduShTiH,1383,EL-3.8,मूत्रपुरीषगन्ध-आर्तवदुष्टिः,urine/feces smellआर्तवदुष्टि ,"the disorder is characterized by दोष वर्ण (आर्तव) [characteristics of artava will be similar to corresponding दोष], दोष वेदना [characteristics of pain will be similar to corresponding दोष], मूत्रगन्धि [menstrual blood posses odour of urine], पुरीषगन्धि [menstrual blood posses odour of faeces] ",,Active,
L5,1392,asRugdaraH/raktapradaraH,1348,EL-4,असृग्दरः/रक्तप्रदरः,menorrhagia or metrorrhagia ,"the disorder is characterized by रक्तं प्रमाणमुपक्रम्यः [quantitative vitiation of blood], अङ्गमर्दः [generalised bodyache], वेदना [pain], दौर्बल्यम् [weakness], भ्रमः [giddiness or dizziness], मूर्च्छा [syncope/attacks of swooning], तमः [blackouts], तृषा [thirst], दाहः [burning sensation], प्रलाप [excess talking/irrelevant speech/incoherent speech], पाण्डुत्वं [pallor], तन्द्रा [drowsiness/lassitude], वातज रोग [diseases of vata], मदः [intoxication] ",,Active,Note: Also Classifed under शोणितजन्यरोगः[ED-2]
L6,1393,vAtika-asRugdaraH,1392,EL-4.1,वातिक-असृग्दरः,असृग्दर due to वात ,"the disorder is characterized by रुजायुक्त फेनिल आर्तवस्राव [painful frothy], रुजायुक्त तनु आर्तवस्राव [painful scanty], रुजायुक्त रूक्ष आर्तवस्राव [painful dry], रुजायुक्त श्याव आर्तवस्राव [painful blackish], रुजायुक्त अरुण आर्तवस्राव [painful reddish brown], रुजायुक्त किंशुकोदक संकाश आर्तवस्राव [painful reddish as palasha flower water], नीरुजा फेनिल आर्तवस्राव [frothy but without pain], नीरुजा तनु आर्तवस्राव [scanty but without pain], नीरुजा रूक्ष आर्तवस्राव [dry butwithout pain], नीरुजा श्याव आर्तवस्राव [blackish and without pain], नीरुजा अरुण आर्तवस्राव [reddish brown and without pain], नीरुजा किंशुकोदक संकाश आर्तवस्राव [reddish as palasha flower water without pain], कटि तीव्रवेदना [severe back pain], वंक्षण तीव्रवेदना [severe groin pain], हृत् तीव्रवेदना [pain in cardiac region], पार्श्व तीव्रवेदना [pain in sides of chest/flanks], पृष्ठ तीव्रवेदना [pain in back], श्रोणि तीव्रवेदना [severe pain in pelvis], अल्पमल्पं आर्तवप्रवृत्तिः [scanty menstrual flow], वातार्तियुक्त आर्तवप्रवृत्तिः [discharge associated with वात types of pain], पिशितोदकाभा आर्तवप्रवृत्तिः [discharge resembling meat washing water] ",,Active,
L6,1394,paittika-asRugdaraH,1392,EL-4.2,पैत्तिक-असृग्दरः,असृग्दर due to पित्त ,"the disorder is characterized by नील आर्तवप्रवृत्तिः [bluish discharge], पीत आर्तव-प्रवृत्तिः [yellowish discharge], उष्ण आर्तवप्रवृत्तिः [warm discharge], असित आर्तवप्रवृत्तिः [blackish discharge], नितान्त रक्तस्राव/रक्तस्राव [constant discharge], मुहुर्मुहुर रक्तस्राव [frequent bleeding], अर्तियुक्त आर्तवप्रवृति [painful], दाहः [burning sensation], रागयुक्त असृग्दर [reddish bleeding], तृषा [thirst], मोहः [confusion/delirium], ज्वरः [fever], भ्रमः [giddiness or dizziness], रक्त [red], भृशवेग आर्तवप्रवृत्तिः [repeated flows out with force] ",,Active,
L6,1395,SlaiShmika-asRugdaraH,1392,EL-4.3,श्लैष्मिक-असृग्दरः,असृग्दर due to कफ ,"the disorder is characterized by पिच्छिल असृक् [slimy], पाण्डुवर्ण असृक् [pale coloured], गुरु असृक् [heavy menstrual flow], स्निग्ध असृक् [unctuous], शीतल असृक् [cold in nature], घन असृक् [thick in consistancy], मन्द रुजा [mild pain], छर्दिः [vomiting], अरोचकः [tastelessness], हृल्लासः [nausea], श्वास [breathlessness/difficult breathing], कासः [cough], आमयुक्त असृग्दर [discharge resembling undigested अन्न रस], पिच्छाप्रतिमं असृग्दर [unctuous discharge resembling extract of शाल्मलि], पुलाकतोयप्रतिमं असृग्दर [discharge resembling rice water] ",Ca.Ci.30/218,Active,
L6,1396,sAnnipAtika-asRugdaraH (raktapradaraH),1392,EL-4.4,सान्निपातिक-असृग्दरः (रक्तप्रदरः),असृग्दर due to three दोष ,"the disorder is characterized by त्रिलिंगसंयुतं [symptoms of all the three doshas], क्षौद्रवर्ण असृग्दर [honey colour like discharge], सर्पिर्वर्ण असृग्दर [घृत like discharge], हरितालवर्ण असृग्दर [हरितल colour like discharge], मज्जप्रकाशं असृग्दर [bone-marrow like discharge], कुणपगन्धि असृग्दर [menstrual blood posses cadaveric smell] ",,Active,
L6,1397,asAdhya-asRugdaraH,1392,EL-4.5,असाध्य-असृग्दरः,irremediable असृग्दर ,"the disorder is characterized by दुर्गन्धयुक्त रक्तस्राव [foul smelling bleeding], पिच्छिल रक्तस्राव [slimy bleeding], पीत रक्तस्राव [yellowish discharge], विदग्ध रक्तस्राव [hot menstrual flow], सर्पिवत रक्तस्राव [घृत like discharge], मज्जायुक्त रक्तस्राव [bone-marrow like discharge], वसायुक्त रक्तस्राव [blood discharge mixed with vasa/fat], तृष्णा [thirst], दाहः [burning sensation], ज्वरः [fever], क्षीणरक्ता [loss of blood(anaemic)], दुर्बल [loss of physical strength or weakness], मुहुः मुहुः आर्तव [frequent menstruation], शश्वत् स्रवत्यथास्रावं/शश्वत् स्रवन्तीमास्रावं [when the discharge is continuous] ",,Active,
L5,1398,somarogaH/SvetapradaraH,1348,EL-5,सोमरोगः/श्वेतप्रदरः,leucorrhoea ,"the disorder is characterized by प्रसन्नस्राव [cleary discharge], विमल स्राव [without turbidity], शीत स्राव [cool discharge], निर्गन्ध स्राव [odourless discharge], निरुजस्राव [painless discharge], सिताः स्राव [white discharge], अतिमात्रस्राव [exessive discharge], दुर्बला [loss of physical strength or weakness], न वेगं धारयितुं [cant able to control urge], क्वचित् सुखं [occasionally feels better], शिरःशिथिलता [slackened head], मुख शोष [dried mouth], तालु शोष [dryness in palate], मूर्च्छा [syncope/attacks of swooning], जृम्भा [yawning], प्रलाप [excess talking/irrelevant speech/incoherent speech], रूक्ष त्वक् [dry skin], भक्ष्यै न तृप्तिं लभते [does not attain satisfaction even after consuming any type of food], भोज्यै न तृप्तिं लभते [does not get satisfaction with food], पेयै न तृप्तिं लभते [does not attain satisfaction even after consuming any type of liquid] ",,Active,
L5,1399,garBiNIrogaH,1348,EL-6,गर्भिणीरोगः,obstetric diseases and conditions , ,,Active,
L6,1400,kikkisa-garBiNIrogaH,1399,EL-6.1,किक्किस-गर्भिणीरोगः,striae gravidarum ,"the disorder is characterized by विदाहः [burning sensation], कण्डूः [itching] ",Ca.Sa.8/32; Ah.Sa.1/58,Active,
L5,1401,garBa-vyApat,1348,EL-7,गर्भ-व्यापत्,types of foetal loss/death , ,,Active,
L6,1402,garBasrAvaH,1401,EL-7.1,गर्भस्रावः,miscarriage-before fourth month ,the disorder is characterized by आचतुर्थात्ततो मासात् प्रस्रवेद् गर्भविच्युतिः [foetal expulsion till the fourth month],,Active,
L6,1403,garBapAtaH,1401,EL-7.2,गर्भपातः,miscarriage-after fourth month ,"the disorder is characterized by स्थिरशरीरस्य पातः पञ्चमोः [foetal expulsion in fifth month of pregnancy], स्थिरशरीरस्य पातः षष्ठयोः [foetal expulsion in sixth month of pregnancy] ",,Active,
L6,1404,upaviShTakaH,1401,EL-7.3,उपविष्टकः,prolonged gestation ,"the disorder is characterized by गर्भो वृद्धिं न प्राप्नोति निःस्रुतत्वात् स कालमवतिष्ठतेऽतिमात्रं/वृद्धिमप्राप्राप्नुवन् गर्भः कोष्ठे तिष्ठति [absence of foetal growth but retained in womb], गर्भः सस्फुरः/गर्भः स्फुरति [foeatus resides in womb and produses thrombings], वर्द्धते तेन नोदरम्/ कुक्षि न विवर्धते [no enlargement of the abdomen], दृश्यते सततं गर्भः प्राप्तात्परिमाणादपरिहीयमान [], कदाचित् अल्प आर्तव परिस्राव [occasional per vaginal little bleeding] ",Ca.Sa.8/26; Ah.Sa.2/15; Sha.Pu.kha.7/181,Active,
L6,1408,nAgodaraH/upaSuShka,1401,EL-7.4,नागोदरः/उपशुष्क,elephantine gestation ,"the disorder is characterized by गर्भो वृद्धिं न प्राप्नोति [the foetus does not grow], परिशुष्कत्वात् [wasting of/emaciation], स गर्भः कालमवतिष्ठतेऽतिमात्रम् [such a foetus remains in the womb of the mother for a long period], अस्पन्दन [there is no quickening of the foetus], उदर आध्मान [abdominal distention], कदाचित् प्रलीयमान [occasionally remains dormant], कृश गर्भः [emaciated/thin /malnourished foetus], शुष्य गर्भः [dry fetus], नात्यल्पं प्रतिमासार्तवं परिस्रवणं [discharge per month not too less], नात्यल्पं प्रत्यहमार्तवं परिस्रवणं [discharge every day not too less], परिहीयमाणो गर्भः चिरात् स्पन्दते [delayed pulsation in fetus], परिहीयमाणो गर्भः किंचित् स्पन्दते [occasional pulsations in fetus], कुक्षिः वृद्धिः परिहीयते [decrease in abdominal girth] ",Ca.Sa.8/26; Su.Sa.10/57; Ah.Sa.2/16; Sha.Pu.kha.7/181,Active,
L6,1409,lInagarBaH,1401,EL-7.5,लीनगर्भः,absence of quickening or death of mature or post mature fetus ,"the disorder is characterized by स्रोतसां लीयते गर्भः [foetus remains inactive in uterus], अतिकालमवतिष्ठमानो व्यापद्यते [complication due to postmaturity in foetus], प्रसुप्तः [sluggish activity], स्पन्दन रहितः/ निस्फुरः [foetus emaciating , disappearing ,dissolving not having throbbings] ",Su.Sa.10/57; Ah.Sa.2/18; Sha.Pu.kha.7/181,Active,
L6,1410,mRutagarBaH,1401,EL-7.6,मृतगर्भः,intrauterine foetal death ,"the disorder is characterized by स्तिमित उदरः [feel as if abdomen wrapped with wet cloth], स्तब्ध उदरः [stiff abdomen], आतत उदरः [stretched], शीत उदरः [cold on touch], अश्मान्तर्गतमिव गर्भः [fetus as stony hard], स्पन्दन रहित गर्भः/ गर्भास्पन्दनम् [absence of foetal movements], अधिक शूल [severe pain], आवि न प्रादुर्भावः [no labour pain], योनि न प्रस्रवतिः [no discharge from योनि], स्रस्तः अक्षिणि/ स्रस्तः नेत्रः [sluggish eyes], ताम्यति [distressed], व्यथते [distress], भ्रमः [giddiness or dizziness], श्वासः [breathlessness/difficult breathing], अरतिबहुल/ अरति [distress/dicontent/restlessness], न वेगप्रदुर्भावः यथावदुप्लभ्यते [improper manifestation of natural urges], आवि-प्रणाशः/ आवि असमुद्भवः [stoppage of labour pain], श्यावता [blackishness or cyanosis], पाण्डुता [pallor], पूति उच्छ्वासः [foetid smell in the breath], शूल/ भृशव्यथा [colicky pain in the abdomen], ध्मात उदरः [inflated abdomen], तृष्णा [thirst], कृच्छ्रात् उच्छ्वसनम् [difficulty in breathing], क्लमः [exhaustion without exertion], अहर्निशं रोदति [cries all through ady and night], न स्वपति [sleeplessness], अतिकष्टं जक्षिति [difficulty in eating] ",Ca.Sa.8/30; Su.Ni.8/12-13; Ah.Sa.2/23; Bp.Ma.70/117,Active,
L6,1411,aparApAtanam,1401,EL-7.7,अपरापातनम्,placental expulsion/after birth , ,Su.Sa.10/11; Ah.Sa.2/39; Sha.Pu.7/182; Bp.Ma.70/136-137,Active,
L5,1412,mUDhagarBaH,1348,EL-8,मूढगर्भः,abonoral foetal presentation ,"the disorder is characterized by कोष्ठ संक्षोभ [irritation in abdomen], पार्श्वशूल [pain in sides of chest/flanks], बस्तिशूल [pain in basti/urinary bladder], शीर्षशूल [pain in head], उदरशूल/ जठर शूल [pain in abdomen], योनिशूल [pain in योनि (vagina)], आनाह [barborygmus with distention], मूत्रसङ्ग [obstruction/retention in passage of urine], गर्भं च्यावयति तरुणं [abortion of young foetus], शोणितस्राव [discharge of blood], कदाचिद्विवृद्ध गर्भः [ocassional enlargement of foetus], असम्यगागत [abnormal foetal presentation], अपत्यपथमनुप्राप्तमनिरस्यमानं [enters into lower abdomen], विगुणापानसंमोहितं [afflicted with impaired अपान वायु] ",Su.Ni.8/4-5; Ah.Sa.2/29-30; Ma.Ni.64/4-6; Sha.Pu.kha.7/181; Bp.Ma.70/117,Active,
L6,1413,kIlakaH,1412,EL-8.1,कीलकः,wedge like presentation ,"the disorder is characterized by ऊर्ध्वबाहुशिरःपादो यो / ऊर्ध्वबाहुचरणे शिरसा [foetal malpresentation], योनिमुखं निरुणद्धि कील इव/ योनिसंगी कीलकवत् [presented as nail at the mouth of योनि (vagina)] ",,Active,
L6,1414,pratikhuraH,1412,EL-8.2,प्रतिखुरः,"मूढगर्भ (breach presentation) presenting with head, hands and feet all together ","the disorder is characterized by निःसृतहस्तपादशिरः [visible palms and feet], कायसंगी [body is obstructed], खुर-दृश्यमान् [looks like horse hoof] ",,Active,
L6,1415,bIjakaH,1412,EL-8.3,बीजकः,मूढगर्भ (breach presentation) where in fetus presented with head alongwith one hand ,"the disorder is characterized by निर्गच्छत्येकशिरोभुजः/ गच्छेद्भुजद्वयशिराः [head and single hand comes out], [] ",,Active,
L6,1416,parighaH,1412,EL-8.4,परिघः,मूढगर्भ (breach presentation) where in presents like an iron beam or rod used for shutting the ,"the disorder is characterized by परिघ इव योनिमुखमावृत्य तिष्ठति/ परिघेण तुल्यः योनौ स्थितः [foetus lies transversely and obstruct the passage], [] ",,Active,
L6,1417,asAdhya-mUDhagarBaH,1412,EL-8.5,असाध्य-मूढगर्भः,irremediable मूढगर्भ ,"the disorder is characterized by द्वान्त्यावसध्यो (लस्त् त्वो गति ओफ़् मुध्गर्भ) [last two foetal presentations are incurable], विपरीतेन्द्रियार्था [women with abnormal sensary perception], आक्षेपक/आक्षेप [convulsion], योनिभ्रंश [vaginal prolapse], योनि संवरण [contraction of vagina], मक्कल्लः [puerperal sepsis], श्वास [breathlessness/difficult breathing], कासः [cough], भ्रमः [giddiness or dizziness], शिरः प्रविध्यति [descending of head], शीतांगी/ हिमांगी/ शीतगात्रा [cold extremeties], निरपत्रपा [lack of lajja/modesty?], नीलोध्दतसिरा/ नीलोद्गतशिरा [bluish veins], पुति उद्गार [putrid eructation], अपविद्धशिरा [descending of head] ",,Active,
L6,1418,mUDhagarBa-upadravaH,1412,EL-8.6,मूढगर्भ-उपद्रवः,complications of मूढगर्भ ,"the disorder is characterized by गर्भकोषसङ्गः [retention of sac], अपरासङ्गः [retention of placenta], मक्कल्लः [puerperal sepsis], योनिसंवृतिः/योनिसंवरणम् [constriction of vaginal orifice], कुक्षिसंगः [gripping in flanks] ",,Active,
L5,1419,sUtikArogaH,1348,EL-9,सूतिकारोगः,puerperial disorder ,"the disorder is characterized by अङ्गमर्दः [generalised bodyache], ज्वरः [fever], कम्पः [tremors], पिपासा [thirst], गुरुगात्रता [heaviness of the body], शोथः [swelling of the body], शूलः [colicky pain in the abdomen], अतिसारः [diarrhoea] ",Su.Sa.10/19; Ma.Ni.65/10; Sha.Pu.7/184; Bp.Ma.70/145,Active,
L6,1420,makkallaH,1419,EL-9.1,मक्कल्लः,post partum pains ,"the disorder is characterized by नाभेरधः ग्रन्थि [glandular projection below umbilicus], पार्श्वयोर्ग्रन्थि [glandular projection in flanks], बस्ति ग्रन्थि/ बस्तिशिर ग्रन्थि [glandular projection in basti/urinary bladder], नाभि शूल [pain in the umbilical region], बस्ति शूल [colicky pain in the basti/urinary bladder], उदरशूल [colicky pain in the abdomen], पक्वाशयः सूचीभिरिव निस्तुद्यते [felt as colon is being pierced by needles], पक्वाशयः भिद्यते [felt as colon is being torn], पक्वाशयः दीर्यते [felt as colon is being cut open], समन्तादमुदरः आध्मान [distension of abdomen], मूत्रसङ्गः [obstruction/retention in passage of urine], शिरः शूल/ मूर्धा शूल [headache], कोष्ठ शूल/ उदर शूल [pain in abdomen], हृच्छूलः [pain in the precordium/cardiac region] ",Su.Sa.10/22; Ah.Sa.1/92; Ma.Ni.64/10(1); Sha.Pu.7/181; Bp.Ma.70/148,Active,
L4,1421,manovahasrotovikAraH,468,EM,मनोवहस्रोतोविकारः,disorders of मनोवहस्रोतस् , ,,Active,
L5,1422,manovahasrotoduShTiH,1421,EM-1,मनोवहस्रोतोदुष्टिः,vitiation of मनोवहस्रोतस् , ,Ca.Ni.7/5,Active,
L5,1423,unmAdaH,1421,EM-2,उन्मादः,psychosis/insanity ,"the disorder is characterized by मन विभ्रमः/मन सम्प्रमोषः [confusion state of mind], बुद्धि विभ्रमः/बुद्धि सम्प्रमोषः [confusion state of intellect], संज्ञा विभ्रमः [altered conciousness], ज्ञानविभ्रमः/ विग्यान विभ्रमः [possess incorrect knowledge], स्मृति विभ्रमः/स्मृति सम्प्रमोषः [agitated memory], भक्ति विभ्रमः [agitated faith/belief], शील विभ्रमः [impaired character], चेष्टा विभ्रमः [agitated movements], आचार विभ्रमः [impaired behaviour], धीविभ्रमः [confused intellect], सत्त्वपरिप्लवः [fickleness of the mind], पर्याकुला दृष्टिः [perplexed look], अधीरता [restlessness], अबद्धवाक्यः [incoherent speech], हृदय-शून्यता [mental vaccum], देह दुःख भ्रस्टः [feeling of pain in body], देह सुख भ्रस्टः [feeling of happiness in body], भ्रमत्यचिन्तितरम्भः [person begin to resort to activities without any thinking], अकस्मात् सुखः प्रलुप्तः [sudden lack of happiness], अकस्मात् दुखः प्रलुप्तः [sudden lack of sorrow], अकस्मात् आचारः प्रलुप्तः [sudden loss of good behviour], अकस्मात् धर्मः प्रलुप्तः [sudden loss of righteous things], अकस्मात् अधर्मः प्रलुप्तः [sudden loss of non-righteous things], अकस्मात् भ्रमति [suddenly start wandering] ",Ca.Ni.7/4. Ca.Ci.9/3-4; Su.U.62/3; Ah.U.6/1; Ma.Ni.20/1; Sha.Pu.kha.7/37; Bp.Ma.29/6,Active,
L6,1424,unmAda-pUrvarUpam,1423,EM-2.1,उन्माद-पूर्वरूपम्,prodromes of उन्माद ,"the disorder is characterized by शिरः शून्यता [feeling of emptyness in head], चक्षुषोराकुलता/ चक्षुषोरस्वस्थत्वं [excitement in eyes], कर्ण स्वनः/ श्रोत स्वनः [dizziness in ears], उच्छ्वासस्याधिक्यम् [increased inspiration], आस्यसंस्रवणम् [excessive salivation], अनन्नाभिलाषा/ अन्न अरुचि [disinclination for food], अरोचकः [tastelessness], अविपाकाः [indigestion], हृद्ग्रहः [stiffness in cardiac region], अस्थान ध्यान [meditation at inappropriate places], अस्थान आयास [exhaustion], अस्थान सम्मोहो [bewilderment at inappropriate places], अस्थान उद्वेग [excitement in inappropriate places], सतत लोमहर्षः/ सतत रोमहर्ष [continuous horipulation], अभीक्ष्णम् ज्वरः [frequent fever], उन्मत्तचित्तः [fickle mindedness], उदर्द [circular elevated patches on body/urticaria], अर्दिताकृतिकरणं व्याधेः [facial expression as if affected by facial paralysis], स्वप्ने अभीक्ष्ण दर्शनं अप्रशस्त रुपाणाम् भ्रान्तः [frequent appearance of the inauspicious objects that are wandering in dreams], स्वप्ने अभीक्ष्ण दर्शनं अप्रशस्त रुपाणाम् चलित [frequent appearance of the inauspicious objects that are moving in dreams], स्वप्ने अभीक्ष्ण दर्शनं अप्रशस्त रुपाणाम् अनवस्थित [frequent appearance of the inauspicious objects that are unstable in dreams], स्वप्ने अभीक्ष्ण दर्शनं तिलपीडकचक्राधिरोहणं [frequent appearance of riding over the wheel of an oil press in dreams], स्वप्ने अभीक्ष्ण दर्शनं वातकुण्डलिकाभिश्चोन्मथनं [frequent appearance of being churned by whirl-winds in dreams], स्वप्ने अभीक्ष्ण दर्शनं कलुषाणामम्भसामावर्ते निमज्जनं [frequent appearance of sinking in fierceful whirl pools in dreams], स्वप्ने अभीक्ष्ण दर्शनं चक्षुषोश्चापसर्पणमिति [frequent appearance of retraction of eyes in dreams], मोहोद्वेगः [fits of unconsciousness], गात्राणामपकर्षणम् [stretching type sensation in limbs], अति उत्साह [extra enthusiasm], कलुषभोजन स्वप्ने [eating unclean food in dreams], वायुनोन्मथनं [churning like sensation in the body due to वायु], भ्रमचक्रगतस्य [giddiness like lying on moving wheel] ",,Active,
L6,1425,vAtaja-unmAdaH,1423,EM-2.2,वातज-उन्मादः,उन्माद due to वात ,"the disorder is characterized by परिसरणमजस्रम् [severe restelessness], अकस्मात् अक्षि विक्षेपणः [flickering of eyes], अकस्मात् भ्रुविक्षेपणः [flickering of eyebrows], अकस्मात् ओष्ठ विक्षेपणः [sudden movements of lips], अकस्मात् अंस विक्षेपणः [movements of shoulders], अकस्मात् हनु विक्षेपणः [sudden movements of jaws], अकस्मात् हस्त विक्षेपणः [sudden movements of hands], अकस्मात् पाद विक्षेपणः [sudden movements of legs], सतत गिरामुत्सर्ग [continuous voice], अनियतानाम् गिरामुत्सर्ग [intermittent voice], आस्य फेनागमनम् [frothing from mouth], अस्थान अभीक्ष्ण स्मित संप्रयोग/अस्थान स्मितः [smiling at inappropriate places], अस्थान अभीक्ष्ण हसित संप्रयोग/अस्थान-हास्यः [laughing at inappropriate places], अस्थान अभीक्ष्ण नृत्य संप्रयोग/अस्थान नृत्य/ अस्थान नर्तनम् [dancing at inappropriate places], अस्थान अभीक्ष्ण गीत संप्रयोग/अस्थान गीत [singing at inappropriate places], अस्थान अभीक्ष्ण वादित्र संप्रयोग [playing music organs], असाम्ना वीणा शब्दानुकरण [nonrhythmic following वीण], असाम्ना वंश शब्दानुकरण/असाम्ना वेणु शब्दानुकरण [nonrhythmic following वंश], असाम्ना शंख शब्दानुकरण [nonrhythmic following शंख], असाम्ना शम्या शब्दानुकरण [nonrhythmic following शम्य], असाम्ना ताल शब्दानुकरण [nonrhythmic following ताल], यानम् अयानैः/ अयानैर्गमनोद्यमः [as if going on vehicle], अलंकरणमनलंकारिकैर्द्रव्यैः [as if wearing ornaments], तीव्रमात्सर्य [severe jelousy], कार्श्य/कृशतनुः/कृशांगता [emaciation], पारुष्य [roughness/dryness], उत्पिण्डित अक्षि [protrusion of eyes], अरुण अक्षि [slightly reddish brown eyes], अस्थान वाग [incoherent speech at inappropriate places], अस्थान अङ्गविक्षेपणम् [irrelevant movements of the limbs], अस्थान रोदनम् [weeping at inappropriate places], अरुणवर्णता [slight reddish complexion of the body], जीर्णे बलम्/ जीर्णे अन्ने गदोद्भवः/ जीर्णे अन्ने अतिबलम् [provocation of the symptom after the food has been digested], रुक्षच्छविः [lustreless apperance], परुषवाग् [harsh voice], धमनीततः [prominent veins], शीतातुरः [wants cold], स्फुरितांग [pulsatile/vibrating body], स्फुरित सन्धि [vibrating joints], आस्फोटयत्यटति [wandering with shaking], गायति नृत्यशीलो [singing and dancing], विक्रोशति [crying], भ्रमति [roams around], अस्थान आक्रोश [crying at inappropriated place], अस्थान आस्फोटन [roams around in appropriate places], मुहुः वेणु शब्दानुकरण [mimics sound of वेणु], मुहुः वीणा शब्दानुकरण [mimics sound of वीण], अजस्र अटनं/ पर्यटन अजस्र [travels /roams a lot], बहुभाषिता [speaks a lot], गृद्धिरभ्यवहार्येषु/ लाभोभ्यवहर्येषु/लोभस्चाभ्यवहार्ये [desires for food], अभ्यवहार लाभे अवमानता/ लब्धेषु अवमान [abuses after obtaining food], अस्थान वाग्भेद [speaks in appropriate places], अस्थान भ्रुविक्षेप [irrelevant eyebrow movements at inappropriate places] ",Ca.Ni.7/7/1. Ca.Ci.9/10; Su.U.62/8; Ah.U.6/6-10; Ma.Ni.20/7-8; Sha.Pu.kha.7/37; Bp.Ma.29/8,Active,
