levels,tid,pid,code,word,arabic,translation,definition
L4,652,587,F-49,Kharq al-Mi‘da,خرق المعدة,Perforation of stomach,Perforation of stomach due to ulcers which is usually fatal.
L4,653,587,F-50,Ḍu‘f al-Kabid,ضعف الكبد,Hepatic insufficiency,"A disease in which all the four faculties of liver i.e. <em>Quwwat Hāḍima</em> (digestive power), <em>Quwwat Māsika</em> (assimilative power), <em>Quwwat Jādhiba</em> (absorptive power), <em>Quwwat Dāfi‘a</em> (expulsive power) or some of these faculties become weak. The causes of this type of weakness are the impaired temperament of liver or whole body, diseases of the adjoining organs like gall bladder, spleen, kidneys, uterus, intestines and lungs, diseases of the liver itself e.g. ulcers, congestion, cirrhosis, calculus, obstruction, etc."
L4,654,587,F-51,Sū’ Mizāj-i-Kabid,سوء مزاج كبد,Hepatic dyscrasia,"The impaired temperament of liver which is exclusively simple in nature and not <em>Māddī</em> (organic). It is of two types; single and compound. Single is subdivided into four type i.e. <em>Sū’ Mizāj Ḥārr</em>, <em>Sū’ Mizāj Bārid</em>, <em>Sū’ Mizāj Raṭb</em> and <em>Sū’ Mizāj Yābis</em>. Compound is again subdivided into four types i.e. <em>Sū’ Mizāj Ḥārr Raṭb</em>, </em>Sū’ Mizāj Ḥārr Yābis</em>, <em>Sū’ Mizāj Bārid Raṭb</em> and <em>Sū’ Mizāj Bārid Yābis</em>. According to the involvement of humours this compound type is subdivided in <em>Ṣafrāwī</em> (bilious), <em>Balghamī</em> (phlegmatic) and <em>Sawdāwī</em> (melancholic)."
L4,655,587,F-52,Sudad al-Kabid,سدد الكبد,Intrahepatic obstruction,"The obstruction of liver caused by strong <em>Quwwat Jādhiba</em> (absorptive faculty) and weak <em>Quwwat Dāfi‘a</em> (expulsive faculty). These factors lead to the accumulation of viscous humours in the liver which in turn causes the inflammation of liver henceforth the obstruction of liver. As a result of this, patient feels heaviness at the site of liver and becomes weak, pale and breathless. Urine will be colourless and stool becomes soft and colourless."
L4,656,587,F-53,Nafkh wa Riyāḥ al-Kabid,نفخ ورياح الكبد,,"Collection of gaseous matter and thereby their condensation inside the liver parenchyma or in the layer covering the liver causes <em>Nafkh-i-Kabid</em>. Condensed vapours could not get dissolved because of their increased amount, obstruction of liver, or thickening of the membrane covering the liver."
L4,657,587,F-54,Waja‘ al-Kabid/ Kubād,وجع الكبد/ كباد,Hepatalgia,"Pain of liver which is caused by the morbid temperament and gaseous distension of membrane covering the liver. It can also be due to acute and chronic hepatitis, traumatic injury of liver, pustules, abscess and calculi of liver."
L4,658,587,F-55,Sharqa al-Kabid,شرقة الكبد,Severe hepatalgia,"A type of severe pain of liver which is caused by intake of cold water just after strenuous exercise, empty stomach or after <em>Ḥammām</em> (steam bath)."
L4,659,587,F-56,Waram al-Kabid,ورم الكبد,Hepatitis,"Swelling of the liver that can be found either on convexity or concavity of the liver or the liver as a whole. This swelling according to the causative agents is of various types: <em>Damawī</em> (sanguineous), <em>Falghamūnī</em>, <em>Ṣafrāwī</em> (bilious), <em>Balghamī</em> (phlegmatic), <em>Ṣulb</em>, <em>Saraṭānī</em>, <em>Ghayr Saraṭānī</em> and <em>Rīḥī</em>."
L5,660,659,F-56.1,Waram al-Kabid Ṣafrāwī,ورم الكبد صفراوي,Bilious hepatitis,"Inflammation of liver due to predominance of <em>Ṣafrā’</em> (yellow bile). Its symptoms are serrate, rapid and consecutive pulse, pale face, cyanosed tongue, reddish urine, bilious vomitus and hyperpyrexia."
L5,661,659,F-56.2,Waram al-Kabid Damawī,ورم الكبد دموي,Sanguineous hepatitis,"Inflammation of liver due to predominance of blood in it. In this condition patient feels severe pain, mild heaviness, excessive thirst, fever, loss of appetite, vomiting, cold and clammy skin of the hands and legs, breathlessness, irritation at the site of liver, pulse bounding, large rapid, consecutive, face congested."
L5,662,659,F-56.3,Waram al-Kabid Sawdāwī,ورم الكبد سوداوي,Melancholic hepatitis,"Inflammation of liver due to predominance of black bile and is characterised by heaviness, loss of appetite, dark face, dry tongue and blackish urine."
L5,663,659,F-56.4,Waram al-Kabid Balghamī,ورم الكبد بلغمي,Phlegmatic hepatitis,"Inflammation of liver due to predominance of phlegm in it and characterised by heaviness, oedematous face and slow feeble pulse."
L5,664,659,F-56.5,Waram al-Kabid Ṣulb Saraṭānī,ورم الكبد صلب سرطاني,Hepatic carcinoma,Inflammation of liver marked by severe pain with loss of appetite.
L4,665,587,F-57,Ḍarba wa Saqṭa al-Kabid,ضربة و سقطة الكبد,,Injury of liver in which it becomes swollen and in severe cases bleeding occurs through vomiting and purgation.
L4,666,587,F-58,Tabaththur al-Kabid,تبثر الكبد,Hepatic papules,A very rare condition in which eruptions appear on the surface of liver. Its cause is the accumulation of <em>Ṣafrā’</em> (yellow bile) on its surface which causes irritation and burning.
L4,667,587,F-59,Taṣaghghur al-Kabid/ Ṣughār al-Kabid/ Ḍumūr al-Kabid,تصغر الكبد/ صغار الكبد/ ضمور الكبد,Hepatic atrophy,A condition in which the size of the liver decreases. Due to this condition liver is unable to perform its metabolic functions and the diet or food which reaches there from stomach remains as it is and causes pain due to distension and diarrhoea. This condition can be congenital (hepatic hypoplasia) as well as acquired. The patients suffering from this condition are diagnosed by the shortening of the fingers and thinning of the blood vessels.
L4,668,587,F-60,‘Iẓam al-Kabid,عظم الكبد,Hepatomegaly,"A condition in which the size of liver increases without inflammation. It does not affect the functions of the liver. This condition usually occurs in tropical countries where there is an increased incidence of malaria. It is sometimes associated with phthisis, tuberculosis and diabetes."
L4,669,587,F-61,Khafqa al-Kabid,خفقة الكبد,,"The feeling of trembling movement of the liver due to obstruction of vessels passing through porta hepatis in the liver. In this condition, the liver becomes distended causing severe pain."
L4,670,587,F-62,Inshiqāq al-Kabid/ Infijār al-Kabid,انشقاق الكبد/ انفجار الكبد,,Tearing of liver parenchyma and its vessels. In mild cases patient survives but in severe cases it is usually fatal. Bleeding occurs through urine and purgation.
L4,671,587,F-63,Ṣalāba al-Kabid,صلابة الكبد,Cirrhosis of liver,The consolidation of liver which results after the chronic inflammation of liver and thereby fibrosis. This fibrotic area pressurises porta hepatis and vessels of liver making it difficult for the flow of blood and bile. Due to this liver becomes weak. The patient of this condition suffers from haematemesis and rectal bleeding.
L4,672,587,F-64,Dubayla al-Kabid,دبيلة الكبد,Liver abscess,"An abscess of liver results from its acute inflammation. When this inflammation does not subside, it gets suppurated. It is usually accompanied with loss of appetite, restlessness, high fever, pain, redness of face and eyes and irritation of liver."
L4,673,587,F-65,Ḥaṣāh al-Kabid,حصاة الكبد,Hepatolithiasis,"A condition in which calculi are formed within the liver. In this condition patient suffers from vomiting after complete digestion of food, irritation, pain and heaviness at the site of liver."
L4,674,587,F-66,Sū’ al-Qinya,سوء القنية,Anaemia with hypoproteineamia,"Derangement of the temperament of liver which makes it unable to form normal blood. This condition leads to ascites. The condition is characterized by changes in the body colour, swelling of eyes and body, impaired digestion, altered appetite, irregular bowels, disturbed sleep, increased flatulence, decreased healing process and fatigue. It is a serious humoral disease which is difficult to treat. This disease is caused by the impaired function of liver either of the liver itself or due to association with other diseases."
L4,675,587,F-67,Fasād al-Dam,فساد الدم,,"Chronic abnormality of blood which affects the nutrition of the skin and produces various changes in it e.g. pigmentation, discolouration, melasma, etc."
L4,676,587,F-68,Faqr al-Dam,فقر الدم,Anaemia,
L4,677,587,F-69,Istisqā’,استسقاء,Oedema,Collection of fluid in the organs and their cavities.
L5,678,677,F-69.1,Istisqā’ Laḥmī,استسقاء لحمي,Cachexic oedema /Anasarca,A type of swelling of the body due to cachexia. It is a generalized and massive oedema of the body.
L5,679,677,F-69.2,Istisqā’ Ṭablī,استسقاء طبلي,Ascites succatus,Collection of condensed gases or mixed fluid in the abdominal cavity. It is caused due to impaired digestive function of the body.
L5,680,677,F-69.3,Istisqā’ Ziqqī,استسقاء زقي,Ascites,Collection of fluid in the peritoneal cavity. It is due to increased transudation from portal vein.
L4,681,587,F-70,Yarqān Aṣfar,يرقان اصفر,Jaundice,"Yellow discoloration of eyes and skin. It is due to the accumulation of uninfected yellow bile towards skin. Excessive bile in the body can be due to increased production of bile in the liver due to any reason or obstruction in the passage of bile from the gall bladder at any point from liver to intestines. It is characterized by fever, nausea, bilious vomiting, heaviness at the site of liver, excessive thirst, foetid breath, constipation. According to causes it is subdivided into different types: <em>Yarqān Suddī</em> (obstructive jaundice), <em>Yarqān Waramī</em> (hepatitis jaundice), <em>Yarqān Ghalayānī</em> (haemolytic jaundice), <em>Yarqān Sammī</em> (epidemic jaundice), <em>Yarqān Buḥrānī</em> (critical jaundice). "
L4,682,587,F-71,Yarqān Aswad,يرقان اسود,,"Blackish discoloration of the skin. It is due to the impaired function of spleen. It is characterized by blackish discolouration of urine and stool, tightening of the skin and abdomen, heaviness of the abdomen and sometimes discoloration of sweat."
L4,683,587,F-72,Sū’ Mizāj-i-Ṭiḥāl,سوء مزاج طحال,Splenic dyscrasia,"Impaired temperament of spleen like other organs. It can be simple as well as compound. Simple type can be subdivided into <em>Ḥārr</em>, <em>Bārid</em>, <em>Yābis</em>, and <em>Raṭb</em>. Compound can be <em>Ḥārr Yābis</em>, <em>Ḥārr Raṭb</em>, <em>Bārid Yābis</em>, and <em>Bārid Raṭb</em>. When this involves humour it is divided into <em>Damawī</em> (sanguineous), <em>Ṣafrāwī</em> (bilious), <em>Balghamī</em> (phlegmatic) and <em>Sawdāwī</em> (melancholic)."
L4,684,587,F-73,Waram-o-Ṣalāba al-Ṭiḥāl,ورم و صلابة الطحال,Chronic splenitis,"Inflammation and consolidation of spleen. According to <em>Ibn Sina</em> inflammation rarely occurs in spleen but when the inflammation occurs and gets prolonged it causes consolidation of spleen. According to the involvement of humours it is divided into <em>Damawī</em> (sanguineous), <em>Balghamī</em> (phlegmatic) and <em>Ṣafrāwī</em> (bilious). The symptoms are the same as in case of humoral predominance."
L4,685,587,F-74,‘Iẓam al-Ṭiḥāl,عظم الطحال,Splenomegaly,"Enlargement of spleen. According to Hippocrates, spleen becomes palpable when the size of spleen increases by double or triple. As a result of this enlargement, bad chyme is produced from the spleen."
L4,686,587,F-75,Taqayyuḥ al-Ṭiḥāl,تقيح الطحال,Splenic abscess,Formation of pus in the spleen. This condition comes after the inflammation of spleen. It is characterized by severe pain and irritation at the site of spleen.
L4,687,587,F-76,Nafkh wa Riyāḥ al-Ṭiḥāl,نفخ و رياح الطحال,,Accumulation of gases in the spleen and its covering layer formed due to the cold impaired temperament and excessive black bile. It causes pain and heaviness on the left hypochondriac region.
L4,688,587,F-77,Ḍu‘f al-Ṭiḥāl,ضعف الطحال,Splenic insufficiency,"Weakness of the faculties of spleen which can be due to splenic abscess, inflammation and wounds. If <em>Quwwat Jādhiba</em> (absorptive faculty) is weak it is characterized by loss of appetite, blackening of sclera, blackish discoloration of face and black jaundice.If it is due to the weakness of <em>Quwwat Māsika</em> (assimilative faculty), excretion of undigested black bile from spleen causes nausea, bilious vomiting and bilious purgation.If it is due to the weakness of <em>Quwwat Hāḍima</em> (digestive faculty), there may be false appetite or canine appetite, melancholic purgation, elephantiasis and varicose veins. If it is due to weakness of <em>Quwwat Dāfi‘a</em> (expulsive faculty) there will be splenitis, splenomegaly and infected black bile may cause melancholic fever."
L4,689,587,F-78,Sudad al-Ṭiḥāl,سدد الطحال,,"It is the obstruction within spleen that can be of three types according to the cause i.e. <em>Sudda Rīḥī</em> (gaseous obstruction), <em>Sudda Khilṭī</em> (humoral obstruction) and <em>Sudda Waramī</em> (inflammatory obstruction). <em>Sudda Khilṭī</em> causes heaviness without inflammatory signs. <em>Sudda Rīḥī</em> causes severe distension but no heaviness. <em>Sudda Waramī</em> causes inflammatory signs and symptoms."
L4,690,587,F-79,Ḥasāh al-Ṭiḥāl,حصاة الطحال,Splenic calculus,Presence of calculus in spleen which is a rare condition. It is characterized by pain of piercing nature and irritation in spleen.
L4,691,587,F-80,Waja‘ al-Ṭiḥāl,وجع الطحال,Splenic pain,"Pain in the spleen that can be due to impaired temperament of spleen, injury and inflammation of spleen. It is usually associated with splenomegaly."
L4,692,587,F-81,Amrāḍ ‘Unuq al-Ṭiḥāl,امراض عنق الطحال,,"This includes acute inflammation, congestion, haemorrhage, pancreatomegaly, carcinoma, decrease in the size or weakness, consolidation, softening, impaired structure, tumour and calculi."
L4,693,587,F-82,Zalq al-Am‘ā’,زلق الامعاء,Lienteric diarrhoea,A condition where food is passed on towards intestines in undigested form. The condition is due to the loss of assimilative power of intestine.
L4,694,587,F-83,Ishāl,اسهال,Diarrhoea,"The passage of loose stools. It can be due to the involvement of contaminated food, air and diseased organs. "
L5,695,694,F-83.1,Ishāl Ghidhā’ī,اسهال غذائي,Crapulous diarrhoea,"A type of <em>Ishāl</em> that can be due to decreased intake of food, excessive intake of food unwillingly. It can also be caused by the altered quality of food, sternuous exercise after meals, excessive intake of water after meals and intake of infected and irritant foods."
L5,696,694,F-83.2,Ishāl Hawā’ī/ Ishāl Wabā’ī,اسهال هوائي/ اسهال وبائي,,A type of loose stools that occur due to the exposure of hot and cold climate or by the polluted air.
L5,697,694,F-83.3,Ishāl al-Midda,اسهال المدة,,"Passage of pus with loose stools due to the rupture of abscesses of any internal organs e.g. stomach, liver, etc. Sometimes this pus comes from the intestinal ulcers."
L5,698,694,F-83.4,Ishāl al-Dam,اسهال الدم,,Passage of blood with loose stool. When this blood comes from liver it is known as <em>Dhūsanṭāriya Kabidī</em> and if it comes from intestines it is known as <em>Dhūsanṭāriya Mi‘wī</em>.
L5,699,694,F-83.5,Ishāl Dimāghī,اسهال دماغي,Irritable bowel syndrome,The cause of this type of loose stools is the infiltration of <em>Nazla</em> (catarrhal fluids) towards the stomach from the brain due to its cold and hot impaired temperament.
L5,700,694,F-83.6,Ishāl Kabidī Kaylūsī,اسهال كبدي كيلوسي,,"The passage of chylous stools due to the weakness, obstruction and inflammation of liver and mesenteries."
L5,701,694,F-83.7,Ishāl Kabidī Ghusālī,اسهال كبدي غسالي,,The passage of loose stools similar to wash water of meat due to the weakness of the <em>Quwwat Hāḍima</em> (digestive faculty) of the liver because of abnormal <em>Burūdat</em> (coldness).
L5,702,694,F-83.8,Ishāl Kabidī Ṣafrāwī,اسهال كبدي صفراوي,Bilious diarrhoea,Passing of bilious loose stools due to hot impaired temperament of liver. The condition should not be checked immediately as this will prove fatal or may lead to ascites.
L5,703,694,F-83.9,Ishāl Kabidī Ṣadīdī,اسهال كبدي صديدي,Purulent diarrhoea,Passage of pus in the loose stools due to inflammation and abscess of liver.
L5,704,694,F-83.10,Ishāl Kabidī Khāthirī-o-Durdī,اسهال كبدي خاثري و دردي,,Passage of sediments in loose stools due to the rupture of liver abscess.
L5,705,694,F-83.11,Ishāl Marārī,اسهال مراري,,Passage of bilious loose stools due to the involvement of gall bladder.
L5,706,694,F-83.12,Ishāl Ṭiḥālī,اسهال طحالي,,Passage of loose stools due to the involvement of spleen.
L5,707,694,F-83.13,Ishāl Mi‘wī Ruṭūbī,اسهال معوي رطوبي,Enterorrhoea,Passage of loose stools due to the predominance of <em>Ruṭūbat</em> (wetness) in the intestines.
L5,708,694,F-83.14,Ishāl Mi‘wī Buthūrī,اسهال معوي بثوري,,Passing of loose stools due to the intestinal eruptions.
L5,709,694,F-83.15,Ishāl Mi‘wī Ṣafrāwī,اسهال معوي صفراوي,Bilious enterorrhoea,Passing of loose stools due to the predominance of <em>Ṣafrā’</em> (yellow bile) in the intestines.
L5,710,694,F-83.16,Ishāl Mi‘wī Sawdāwī,اسهال معوي سوداوي,Melancholic enterorrhoea,Passing of loose stools due to the predominance of <em>Sawdā’</em> (black bile) in the intestines.
L5,711,694,F-83.17,Ishāl al-Aṭfāl,اسهال الاطفال,Infantile diarrhoea,"Infants passing loose stools during their teething period. This is due to inflammation of gums and thereby mixing of inflammatory exudates in the milk. This is the diversion of medicatrix naturae towards the growth of teeth, because of which digestive functions are affected."
L5,712,694,F-83.18,Ishāl Mi‘dī,اسهال معدي,Gastrogenic diarrhoea/Gastrocolic reflex,Passage of loose stools because of the involvement of stomach.
L5,713,694,F-83.19,Ishāl Saḥjī Damawī,اسهال سحجي دموي,Haemorrhagic diarrhoea,Passing of loose stools with blood due to abrasion of intestines.
L5,714,694,F-83.20,Ishāl Saḥjī Mukhāṭī,اسهال سحجي مخاطي,Catarrhal diarrhoea,Passing of loose stools with mucous due to abrasion of intestines.
L5,715,694,F-83.21,Ishāl Saḥjī Qushārī-o-Khurāṭī,اسهال سحجي قشارى و خراطي,,Passing of loose stools with scraps due to abrasion of intestines.
L5,716,694,F-83.22,Ishāl Saḥjī Middī-o-Ṣadīdī,اسهال سحجي مدى و صديدي,Purulent diarrhoea,Passing of loose stools with pus due to abrasion of intestines.
L5,717,694,F-83.23,Ishāl Saḥjī Zubdī,اسهال سحجي زبدي,Frothy diarrhoea,Passing of loose stools with froth due to the abrasion of intestines.
L5,718,694,F-83.24,Ishāl Saḥjī Mirrī,اسهال سحجي مري,Ulcerative bilious diarrhoea,Passing of loose stools with yellow bile due to the abrasion of intestines.
L4,719,587,F-84,Ḍu‘f al-Am‘ā’,ضعف الامعاء,Enteropathy,"When the sensitivity of intestine is increased or retentive power is lost, there is involuntary passage of loose stools. The condition may occur due to weakness of the nerves supplying the intestines or accumulation of melancholic humours."
L4,720,587,F-85,Dharab-o-Khilfa,ذرب و خلفہ,Sprue/ Malabsorption syndrome,<em>Dharab</em> is a chronic illness in which there are continuous loose stools. <em>Khilfa</em> is a condition in which food does not stay in the stomach but is passed undigested from the stomach in one and more than one bowel.
L4,721,587,F-86,Saḥj wa Qurūḥ al-Am‘ā’,سحج و قروح الامعاء,Crohn’s disease,"<em>Saḥj</em> is the abrasion of the inner most layer of intestine. It can be due to: 1. Infiltration of yellow bile, saline phlegm and black bile into intestines. 2. Passage of hard stools from the intestines. 3. Use of irritant or erosive drugs. 4. Use of drastic purgatives. Depending on the involvement of humours it is divided into <em>Damawī</em> (Sanguineous), <em>Ṣafrāwī</em> (bilious), <em>Sawdāwī</em> (melancholic) and <em>Balghamī</em> (phlegmatic)."
L4,722,587,F-87,Dhūsanṭāriya Kabidiyya,ذوسنطاريہ كبديہ,Hepatic diarrhoea,"Passing of blood mixed with stools. It can be due to congestion, injury, inflammation or rupture of vessels of liver. In this condition patient usually feels no pain or mild pain with fresh bleeding. In this bleeding occurs in episodes. Patient becomes emaciated after sometime. It is also known as <em>Ishāl Kabidī</em>."
L4,723,587,F-88,Dhūsanṭāriya Mi‘wiyya,ذوسنطاريہ معويہ,,It is the passing of blood mixed stools from the intestines due to its ulceration. This condition is usually very painful. Patient becomes emaciated after a long time. It is also known as <em>Ishāl Mi‘wī</em>.
L4,724,587,F-89,Zaḥīr,زحير,Dysentery,"An abnormal movement of rectum in which there is frequent passage of stools with or without blood associated with tenesmus and spasm of the intestine leading to the rupture of intestinal blood vessels. In this condition there is a passage of mucous with blood in stool. It is of two types: 1. <em>Zaḥīr Kādhib</em> / <em>Bāṭil</em>: An abnormal movement of the rectum to expel that dry stool which is accumulated in the sigmoid colon of small intestine. 2. <em>Zaḥīr Ṣādiq</em>: An abnormal movement of rectum to expel the infiltrated yellow bile and saline phlegm from it. Inflammation of rectum is also one of the causes of this abnormal movement. As per the causative factor it is divided into <em>Ṣafrāwī</em> (bilious), <em>Balghamī</em> (phlegmatic) and <em>Riḥī</em>."
L5,725,724,F-89.1,Zaḥīr Waramī,زحير ورمي,Inflammatory dysentery,A type of dysentery that is caused by the inflammation of rectum.
L5,726,724,F-89.2,Zaḥīr Wabā’ī,زحير وبائي,Epidemic dysentery,A type of dysentery that is caused by the polluted air or water.
L5,727,724,F-89.3,Zaḥīr Īdhā’ī,زحير ايذائي,Traumatic dysentery,A type of dysentery that is caused as a result of the injury of the rectum.
L5,728,724,F-89.4,Zaḥīr al-Aṭfāl,زحير الاطفال,Infantile dysentery,A type of dysentery that usually occurs in infants due to cold and sometimes due to the predominance of <em>Ṣafrā’</em> ( yellow bile).
L4,729,587,F-90,Maghṣ,مغص,Tenesmus,"Gripping pain of intestines which usually occurs in small intestine. The intensity of pain is less than that of colic. It can be due to inflammation, condensed gases, yellow bile, phlegm, black bile, dry stool, worm infestation and critical condition of the body. According to causes it is classified into <em>Maghṣ Ṣafrāwī</em> (bilious tenesmus), <em>Maghṣ Sawdāwī</em> (melancholic tenesmus), <em>Maghṣ Balghamī</em> (phlegmatic tenesmus), <em>Maghṣ Rīḥī</em> (gaseous tenesmus), <em>Maghṣ Waramī</em> (inflammatory tenesmus), <em>Maghṣ Thuflī</em> (tenesmus due to dry stool), <em>Maghṣ Dīdānī</em> (helmenthic tenesmus) and <em>Maghṣ Buḥrānī</em> (tenesmus during crisis of disease)."
L5,730,729,F-90.1,Maghṣ al-Aṭfāl,مغص الاطفال,Infantile tenesmus,"Gripping pain of small intestines that occurs in infants. It is due to the weakness of stomach, excessive intake of milk or decrease in the quality of milk which lead to excessive production of gases. The accumulation of these gases in the intestines causes tension and pain."
L4,731,587,F-91,Nafkh-o-Qarāqir,نفخ و قراقر,Gurgling/Borborygmus,<em>Nafkh</em> is the distension of stomach with gases. <em>Qarāqir</em> is the rumbling noise caused by the propulsion of gas through the intestines. Both conditions are due to excessive production of gases because of the impaired digestive function.
L4,732,587,F-92,Qūlanj,قولنج,Colic,"A type of severe pain of colon caused by intestinal obstruction. The obstruction can be in the form of gases, dry faecal matter or inflammation, etc. According to the causes and site of pain it is classified into many types."
L5,733,732,F-92.1,Qūlanj Waramī,قولنج ورمي,,"When the cause of obstruction is inflammation of the intestines. Depending on the involvement of humours, it is divided into <em>Qūlanj Waramī Damawī</em> (sanguineous), <em>Qūlanj Waramī Balghamī</em> (phlegmatic), <em>Qūlanj Waramī Ṣafrāwī</em> (bilious) and <em>Qūlanj Waramī Sawdāwī</em> (melancholic)."
L5,734,732,F-92.2,Qūlanj Rīḥī,قولنج ريحي,Colic due to flatulence,A type of colic in which the intestinal obstruction is caused by condensed gases.
L5,735,732,F-92.3,Qūlanj Iltiwā’ī,قولنج التوائي,Volvulus,A type of colic caused by axial rotation of the loops of the intestines.
L5,736,732,F-92.4,Qūlanj Fatqī,قولنج فتقي,,Colic due to intestinal obstruction caused by the herniation of intestine.
L5,737,732,F-92.5,Qūlanj Dūdī,قولنج دودي,,Colic due to worm infestation.
L5,738,732,F-92.6,Qūlanj Thuflī,قولنج ثفلي,Stercoral colic,"In this type of colic, the intestinal obstruction is due to dried faecal matter."
L5,739,732,F-92.7,Qūlanj Balghamī,قولنج بلغمي,Phlegmatic colic,The most common type of colic in which intestinal obstruction is caused by viscous phlegmatic humour.
L5,740,732,F-92.8,Qūlanj Tashannujī,قولنج تشنجي,Spasmodic colic,"A type of colic that occurs in grief, fear, exposure to cold environment, intake of ice and sometimes secondary to other diseases e.g. hysteria."
L5,741,732,F-92.9,Qūlanj Raṣāṣī,قولنج رصاصي,Lead colic,A type of colic that occurs because of lead poisoning.
L5,742,732,F-92.10,Qūlanj Zā’idī,قولنج زائدي,Appendicular colic,A type of colic that occurs because of the inflammation and obstruction of appendix.
L5,743,732,F-92.11,Qūlanj Kabidī,قولنج كبدي,Hepatic colic,A type of colic that is caused by the obstruction of hepatic duct due to calculi.
L5,744,732,F-92.12,Qūlanj Marārī,قولنج مراري,Biliary colic,A type of colic that is caused by the inflammation and obstruction of gall bladder.
L5,745,732,F-92.13,Qūlanj Kulwī,قولنج كلوي,Renal colic,A type of colic that is caused by the obstruction of kidneys with calculi.
L5,746,732,F-92.14,Qūlanj Mi‘dī,قولنج معدي,Gastric colic,A type of colic that is due to the spasm of stomach.
L5,747,732,F-92.15,Qūlanj Nuḥāsī,قولنج نحاسي,Copper colic,A type of colic due to copper poisoning.
L5,748,732,F-92.16,Qūlanj Murakkab/Khunāq Mi‘wī,/قولنج مركبخناق معوي,Intestinal obstruction,A type of colic caused by viscous humour or gases. This is the worst and most painful of all types. When it gets stabilized it leads to sudden death.
L5,749,732,F-92.17,Qūlanj Wabā’ī,قولنج وبائي,Epidemic colic,A type of colic that affects population at large.
L5,750,732,F-92.18,Qūlanj ‘Arḍī,قولنج عرضي,Secondary colic,Colic associated with other diseases.
L4,751,587,F-93,Īlā’ūs,ايلاؤس,Dynamic intestinal obstruction,"Severe colicky pain of small intestine caused by its obstruction due to inflammation, dry stool etc. According to Hippocrates the meaning of <em>Īlā’ūs</em> is “God Forbid”. It is an acute and severe condition when the patient has projectile vomiting with gastrointestinal contents. Sometimes it is preceded by <em>Qūlanj</em> and vice versa."
L4,752,587,F-94,Qabḍ/I‘tiqāl al-Baṭn/Ḥuṣr/Iḥtibās al-Baṭn/ Iḥtibās al-Ṭabī‘a/I‘tiqāl al-Ṭabī‘a/Imsāk al-Baṭn,/ قبض اعتقال البطن / /حصراحتباس البطن /احتباس الطبيعة /اعتقال الطبيعة /امساك البطن,Constipation,"Literal meaning of this word is “to hold”. In this condition as the intestines hold the stool inside them. In medical terms, it is the impairment of functions of large intestine which fail to expel faeces from it."
L5,753,752,F-94.1,Ḥuṣr Mu‘tād/Ḥuṣr Dā’imī,/حصر معتادحصر دائمي,Habitual constipation,"A state of constipation which persists for a long time and the patient has to use some stimulant e.g. tea, coffee, exercise, etc. for defecation. It is due to the weakness of the expulsive faculty of intestine."
L5,754,752,F-94.2,Ḥuṣr ‘Arḍī,حصر عرضي,Secondary constipation,"A type of constipation due to other causes e.g. fever, acute diseases, anaemia, melancholia and weakness of nervous system, paralysis, paresis, etc."
L4,755,587,F-95,Dīdān al-Am‘ā’,ديدان الامعاء,Worm infestation,"Infestation of worms in the intestines. The intestinal worms are produced as a result of putrefaction of phlegmatic fluids of the intestine. It is of four types: <em>Ḥayyāt</em> (roundworm), <em>Mustadīra</em> (hookworm), <em>Mu‘tariḍa / Ḥabb al-Qar‘</em> (tape worm), <em>Ṣighār</em> (thread worm). <em>Ḥayyāt</em> (roundworm) are found in the upper part of intestine. <em>Mustadīra</em> (hookworm), are found in the caecum, colon. <em>Mu‘tariḍa</em> (tape worm) are found in the caecum. <em>Ṣighār</em> (thread worm) are found in rectum. General symptoms include decreased or increased appetite, tenesmus, irritation of intestine, excessive salivation, grinding of teeth during sleep, nausea after meals, restlessness, heaviness of head, irritative behaviour, delirium, headache, tinnitus, nightmares, breathlessness, epilepsy, colic, syncope, coma, etc."
L4,756,587,F-96,Bawāsīr,بواسير,Piles/Haemorrhoid,"A disease of rectum in which there is accumulation of black bile in the venules of rectum to form a polyp like growth in it. According to the shape of polyp, it is divided into seven types:1. <em>Bawāsīr Thūlūlī</em>: Polyps in shape of <em> ‘Adasiya</em> (lentil) or <em>Ḥimmṣiya</em> (gram). 2. <em>Bawāsīr ‘Inabiyya</em>: Shape of the polyps resemble grapes. 3. <em>Bawāsīr Tūtī</em>: The polyps resemble with the shape of mulberry. 4. <em>Bawāsīr Naffākhī</em>: The polyps resemble with the shape of small bubble. 5. <em>Bawāsīr Nakhlī</em>: Vessels of the polyps are spread like the branches and roots of date tree. 6. <em>Bawāsīr Tīnī</em>: Shape of the polyps are flat and round similar to that of fig. 7. <em>Bawāsīr Tamrī</em>: Shape of the polyps are similar to shape of date i.e. long and oval. According to presence or absence of bleeding it is divided into <em>Bawāsīr Dāmiya</em> (bleeding piles) and <em>Bawāsīr ‘Umiyā</em> / <em>Bawāsīr Aṣam</em> (non-bleeding piles)."
L4,757,587,F-97,Rīḥ al-Bawāsīr,ريح البواسير,,"A disease in which viscous melancholic gases accumulate in the back of the body, umbilicus and kidneys leading to gastric flatulence, gurgling and pain. Sometimes these gases produce pain and heaviness. "
L4,758,587,F-98,Qishr al-Bawāsīr,قشر البواسير,Sentinel pile,"A type of mucous membrane, covering the rectum which often extends to colon. This layer sometimes gets projected and comes out through the rectum. The only treatment for this condition is the surgical removal of this layer."
