levels,tid,pid,wordcode,code,word,translation,definition,refn
L6,744,727,குவளைபடுவன்,NAB1.17,Kuvaḷaippaṭuvaṉ,inability to rotate the eyeball due to papules in the inner lower eyelid.,it is characterised by ability to rotate the eyeball due to papules in the inner lower eyelid. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal oon gets increased,"Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.50"
L6,745,727,அழற்றி,NAB1.18,Aẕaṟṟi,reddish painful inflammatory swelling of the lateral canthus with watery discharge.,"it is characterised by pain around the orbital area,pink eyes, inflammatory swelling of the lateral canthus of the eye, watery and mucosal discharge, dyspepsia and pain in the forehead and cheeks. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal senner gets increased","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.53"
L6,746,727,இமையோடுருட்டல்,NAB1.19,Imaiyōṭuṟuttal,twitching of the upper eye lid with blurring of upward vision.,"it is characterised by twitching of the upper eye lid with blurring of upward vision, photophobia,lacrymation, itching in the scalp. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal senner gets increased","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.55"
L5,747,708,ஐயம்,NAC,Aiyam,,,
L6,748,747,அரூபம்,NAC1.1,Arūpam,watery discharge with diminished vision during day time,"it is characterised by watery discharge with diminished vision during day time, mucus discharge with irritation. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets increased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.32"
L6,749,747,கண்குருடு,NAC1.2,Kaṇkuruṭu,"purulent discharge, irritation of the eyes,fleshy growth over the eyes","it is characterised by pain around the orbits, wart like growth with on and off pattern, headache and pain in the occipatal region. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal oon gets increased","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.34"
L6,750,747,பெருமுளை,NAC1.3,Parumuḷai,"heaviness in the eyes with pain and watery discharge, swelling of the eyelids, unable to open eyes w","it is characterised by heaviness of eyes with pinkish appearance and lacrymation, inflammation of eyelids, blackish or whitish nodular growth over the conjuctiva and headache. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal kozhuppu gets increased","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.35"
L6,751,747,துர்மாமிசம்,NAC1.4,Turmāmicam,"fleshy growth in the sclera, swelling of eyelids, discharge from eyes with intolerable pain","it is characterised by fleshy growth in the sclera, swelling of eyelids, watery and mucos discharge from eyes with intolerable pain. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal oon gets increased","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.36"
L6,752,747,வெள்ளெழுத்து,NAC1.5,Veḷḷeẕuttu,"sensitivity of eyes, blurred vision and long sightedness","it is characterised by sensitivity of eyes, blurred vision, tired eyes and long sightedness. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets decreased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.36"
L6,753,747,அதிமந்தாரம்,NAC1.6,Atimantāram,"pain in the eyes with watery discharge, diminision of vision in due course,progressing to depresssi","it is characterised by pain in the eyes with watery discharge, diminision of vision in due course,progressing to depresssion and slow gait. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets decreased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.38"
L6,754,747,சோதி நெறி,NAC1.7,Cōti Neṟi,"pappillary growth arises within 3 days and resolves leading to pallor of eyes, downward gazing of v","it is characterised by small nodular growth in the eyes which reduces and increases in size which results in whitish appearance of the eyes, mucus and watery discharge, pain in the occipetal and head.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.38"
L6,755,747,காசமுருகி,NAC1.8,Kācamuruki,"redness in cornea, growth in sclera, dicharge from the lower eyelids, associated with headache and t","it is characterised by fleshy growth over the sclera, lacrymation, tooth pain and headache. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal oon getss increased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.40"
L6,756,747,மாலைக்கண்,NAC1.9,Mālaikkaṇ,night blindness,"it is characterised by impossible to see in relatively low light, insufficient adaptation to darkness, headache, mucus discharge and sensitivity to light","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.40"
L6,757,747,அக்கரம்,NAC1.10,Akkaram,"redness in the eye with itching, sensitivity and water discharge from the eye","it is characterised by redness in the eye with itching, sensitivity , headache , yawn, water discharge from the eye. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal senner gets increased","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.41"
L6,758,747,அழுந்திடும் பிரித்தல்,NAC1.11,Aẕuntiṭum Pirittal,"stabbing pain in eyes, ulcers around the eye associate with water or purulent discharge, unable to b","it is characterised by stabbing pain in eyes, ulcers around the eye associate with water or purulent discharge, unable to blink. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal senner gets increased","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.42"
L6,759,747,துண்ணு வெண் புகைச்சல்,NAC1.12,Tuṇṇu Veṇ Pukaiccal,"diminished vision due to growth in the eyes, associated pain in the face.","it is characterised by diminished vision due to fleshy growth in the eyes, associated neuralagia in the face, slight itching and depression. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal seneer gets increased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.43"
L6,760,747,சோரக்கண் துடிப்பு,NAC1.13,Cōrākkaṇ Tuṭippu,"pain in pupils and eye lids, heaviness in eyelids, loss of sleep, initially asymptomatic","it is characterised by throbbing pain in pupils and eye lids,lacrymation, insomnia, heaviness in eyelids, loss of sleep and initially asymptomatic. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets increased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.44"
L6,761,747,வளர்ந்தெழு ரோகம்,NAC1.14,Vaḷarnteẕu Rōkam,"ulcers in the lower eyelids and eyebrows. Growth in the lateral canthus, redness ,painful watery dis","it is characterised by ulcers in the lower eyelids and eyebrows. Growth is seen in the lateral canthus of the eye which results in grittiness feel, pain and lacrymation while blinking, diminished vision.It is explained by aggravated vatham .In udalthathukkal moolai gets decreased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.54"
L6,762,747,மதன மந்தாரம்,NAC1.15,Mataṉa Mantāram,"dark,hazzy and blurred vision, head ache with discharge from eye causing redness and the symptoms a","it is characterised by dark,hazzy and blurred vision, head ache with mucus discharge from eye causing redness and the symptoms aggravates in due course. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets decreased","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.46"
L6,763,747,சுடராட்டி மாமிசம்,NAC1.16,Cuṭarāti Māmicam,"greenish discolouration of the pupil, hazziness of vision leading to blindness, fleshy growth with i","it is characterised by greenish discolouration of the pupil, hazziness of vision leading to blindness, fleshy growth with irritation and watery dischargeand stabbing pain in eyes.It is explained by aggravated vatham .In udalthathukkal moolai gets decreased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.47"
L6,764,747,உயர்ந்து கண்புடைத்தல்,NAC1.17,Uyarntu Kaṇ Puṭaittal,severe pain with swelling with fleshy growth and water discharge and leads to delirium,"it is characterised by severe pain and inflammation, fleshy growth with pricking pain, lacrymation and leads to delirium.It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets decreased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.48"
L6,765,747,கும்பிமை தடித்தல்,NAC1.18,Kumpimai Taṭittal,"dishcarge from eye, hazziness of vision, purulent discharge, burning sensation of face and body, ave","it is characterised by mucus dishcarge from eye, hazziness of vision, continous purulent discharge, burning sensation of face and body, aversion to food and vomiting occurs.It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal seneer gets increased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.49"
L6,766,747,எழு ஞாயிறு,NAC1.19,Eẕu Ñāyiṟu,painful abscess in the eye,"it is characterised by intolerable pain in the eyes by the patients and hence they fall down, roll over with abscess in the eye. It is explained by dearangement of vatham ( nagan and koorman) In udalthathukkal oon gets decreased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.25"
L6,767,747,பிரவிக்குருடு,NAC1.20,Piṟavikkuruṭu,blindness of infants due to intake of high dose of medicines by the mother,"it is characterised by blindness of infants , congenitally due to intake of high dose of drugs by the mother, malnutrition or poisonous bite to the mother.It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets decreased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.53"
L6,768,747,வருஞ்சலரோகம்,NAC1.21,Varuñcalarōkam,"increased watery discharge of the eye, sometimes with blackish watery discharge","it is characterised by increased watery discharge of the eye, sometimes with blackish watery discharge. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets decreased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.54"
L4,769,707,இமை நோய்கள்,NB,Imai Nōykaḷ,Eye lid diseases,,
L5,770,769,வளி,NBA,Vaḷi,Eye lid diseases classified under Vali,,
L6,771,770,முட மயிர்,NBA1.1,Muṭa Mayir,Trichiasis,"it is characterised by inflammed eyelids,pink eyes, distortion of eyelashes which are directed back and rub against cornea ,mucus discharge and eylelashes falls down and grows newly. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets increased.","Dr. K.S. Utthamarayan (1984). Siddhar Aruvai Maruthuvam Part II (2nd Edition), Page No:"
L6,772,770,இழிச்சக்கண்,NBA1.2,Iẕiccakkaṇ,Seborrheic Keratosis,it is characterised by ulceration of eyelid and thick mucosal discharge with severe pain and non- healing. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal oon gets decreased.,"Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.204"
L6,773,770,சுற்றுக்குளைவு,NBA1.3,Cuṟṟukkulaivu,Shrunken of orbits,it is characterised by alopecia in eyelashes and ulceration around the eyelids.It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal seneer gets increased,"Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.210"
L6,774,770,இமையுயர்ச்சி,NBA1.4,Imaiyuyarcci,Ectropion,"it is characterised by lower eyelid turns or sags outward, away from your eye, exposing the surface of your inner eyelid.This condition can cause eye dryness, excessive tearing, and irritation.It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets imcreased","Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.211"
L5,775,769,அழல்,NBB,Aẕal,Eye lid diseases classified under Azhal,,
L6,776,775,இரத்தக்கழலை,NBB1.1,Iratta Kaẕalai,Melacystic tumour of eyelid,it is characterised by clotting of blood in eyelid. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal seneer gets increased,"Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.208"
L6,777,775,இரத்தம் பற்ப ரோகம்,NBB1.2,Rattam Paṟpa Rōkam,Chalazion,"it is characterised by inflammation of inflammation of eyelids, lachrymation, mucus discharge, pink eyes. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal seneer gets increased","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.29"
L6,778,775,புழுக்கட்டி,NBB1.4,Puẕukkaṭi,Madarosis,"it is characterised by loss of eyelashes, and sometimes eyebrows, itching, Swollen, itchy, red, burning eyelids. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal seneer gets increased","Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.211"
L5,779,769,ஐயம்,NBC,Aiyam,Eye lid diseases classified under aiyam,,
L6,780,779,நீர் பில்லம்,NBC1.1,Nīr Pillam,Trichinosis,"it is characterised by irritation, inflammation of eyelids, lacrymation,pink eyes, sensitivity to light. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal seneer gets increased","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.48"
L6,781,779,குடர் பில்லம்,NBC1.2,Kuṭaṟ Pillam,Eye lid disease with infection,"it is characterised by lacrymation, swelling of eyelids. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal oon gets decreased.","Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.199"
L6,782,779,இமை தடிப்பு,NBC1.3,Imai Taṭippu,Blepharitis,"it is characterised by inflammation of the eyelid, resulting in inflamed, irritated, itchy, and reddened eyelids, Crusting at the eyelid margins/base of the eyelashes, Eyelid itching, Flaking of skin on eyelids. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkalseneer gets increased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.26"
L6,783,779,நீர் கழலை,NBC1.4,Nīr Kaẕalai,Hydro cystoma,"it is characterised by cysts of sweat ducts, usually on the eyelids. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal kozhuppu gets increased.","Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.208"
L6,784,779,தசை கழலை,NBC1.5,Tacai Kaẕalai,Eyelid tumour,it is characterised by eyelid tumour. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal kozhuppu gets increased.,"Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.208"
L6,785,779,நீர் பற்ப ரோகம்,NBC1.6,Nīr Paṟpa Rōkam,Stye,"it is characterised by a lump on the top or bottom eyelid with Localized swelling and pain of the eyelid, Redness, Tenderness, Crusting of the eyelid margins, Burning in the eye, Droopiness of the eyelid,, Blurred vision, Mucous discharge in the eye. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal kozhuppu gets increased.","Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.206"
L6,786,779,மாங்கிச பற்ப ரோகம்,NBC1.7,Māṅkiṣa Paṟpa Rōkam,Hordeolum,"it is characterised by disorder of the eyelid, involving either the glands of Zeis and the meibomian glands. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal kozhuppu gets increased.","Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.207"
L6,787,779,இமைநீர் பாய்ச்சல்,NBC1.8,Imainīr Pāyccal,Epiphora,"it is characterised by overflow of tears onto the face, insufficient tear drainage from the eyes in that tears will drain down the face rather than through the nasolacrimal system. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal saram gets increased.","Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.209"
L4,788,707,கடைக்கண் நோய்கள்,NC,Kaṭaikaṇ Nōykaḷ,Eye canthal disease,,
L5,789,788,வளி,NCA,Vaḷi,Eye canthal disease classified under Vali,,
L6,790,789,விழி வலி,NCA1.1,Viẕi Vali,ptosis due to increase vali humour,it is characterised by ptosis due to increase vali humour. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal saram gets decreased,"Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.213"
L6,791,789,நிதிரவாயு,NCA1.2,Nitiravāyu,"pain over the eyebrows, reddness of sclera, rhinorhhoea","it is characterised by pain over the eyebrows, reddness of sclera, rhinorhhoea and itching.It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal saram gets increased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.21"
L5,792,788,அழல்,NCB,Aẕal,Eye canthal disease classified under azhal,,
L6,793,792,இரத்த படர்த்தி,NCB1.1,Ratta Paṭartti,spreading of bloody discharge in the outer canthus of eye,it is characterised by bloody discharge in the outer canthus of eye lid. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal seneer gets increased.,"Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.193"
L6,794,792,ரதகுவை,NCB1.2,Ratakuvai,cyst with blood accumulation in the outer canthus of eye,it is characterised by cyst with blood accumulation in the outer canthus of eye.It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal seneer gets increased.,"Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.211"
L6,795,792,விரணப் பரு,NCB1.3,Viraṇap Paru,pappilary growth in the outer canthus of eye,it is characterised by pappilary growth in the outer canthus of eye.It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal oon gets increased.,"Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.213"
L6,796,792,இமைகுருட்டு,NCB1.4,Imaikkuruṭu,diminished vision due to diseases of the outer canthus of eye,it is characterised by diminished vision due to diseases of the outer canthus of eye. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets decreased.,"Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.213"
L5,797,788,ஐயம்,NCC,Aiyam,Eye canthal disease classified under aiyam,,
L6,798,797,கண் நோக்காடு,NCC1.1,Kaṇ Nōkkāṭu,growth in the outer canthus of the eye with watery discharge,it is characterised by growth in the outer canthus of the eye with watery discharge. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal oon gets increased.,"Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.211"
L6,799,797,பூச்சாந்திரம்,NCC1.2,Pūccāntiram,growth above the medial canthus,"it is characterised by mucus discharge of the lower lid, small papular growth above the medial canthus,sharp stinging pain in the eyes. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal oon gets increased.","Anonymous,(1923), Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.212"
L6,800,797,இமைக் குமிழ்,NCC1.3,Imaik Kumiẕ,cyst in the lateral canthus of eye,it is characterised by cyst in the medial canthus of eye. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal oon gets increased.,"Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.213"
L4,801,707,கருவிழி நோய்கள்,ND,Karuviẕi Nōykaḷ,Corneal disease,,
L5,802,801,வளி,NDA,Vaḷi,Corneal disease caused by Vali,,
L6,803,802,வளி காசம்,NDA1.1,Vaḷi Kācam,corneal eye disease with blindness and increased lacrimation,"it is characterised by corneal eye disease with blindness and increased lacrimation, laziness of eyes, swelling of eyelids,insomnia. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets decreased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.34"
L6,804,802,வால காசம்,NDA1.2,Vāla Kācam,"corneal eye disease with pain, blurry vision and bluish discoloration of cornea","it is characterised by corneal eye disease with pain, blurry vision in morning and bluish discoloration of cornea. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal senner gets increased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.48"
L6,805,802,மணிநீல காசம்,NDA1.3,Maṇinīla Kācam,corneal eye disease with lacrimation and redness of eyes,"it is characterised by corneal eye disease with lacrimation, pricking pain in eyes, blurry vision and redness of eyes. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal senner gets increased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.33"
L6,806,802,நீரேழு காசம்,NDA1.4,Nīreẕu Kācam,corneal eye disease with fleshy growth in the cornea and heaviness of the eyelid,"it is characterised by corneal eye disease with redness around the cornea, lacrymation and heaviness of the eyelid.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.33"
L6,807,802,துட்டித்துன் காசம்,NDA1.5,Tuttiṭuṅ Kācam,"corneal eye disease with lacrimation, blurred vision and pruritus","it is characterised by corneal eye disease with pricking pain,grittiness im lower eyelid, lacrimation, blurred vision and loss of vision gradually. t is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets decreased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.33"
L6,808,802,சதைப் படலம்,NDA1.6,Cataip Paṭalam,"corneal eye disease with reddish discoloration of eyes, pain,irritation and yellow mucous discharge","it is characterised by corneal eye disease with reddish discoloration of eyes, pain,irritation and grittiness in the eyes. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal senner gets increased.","Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.169"
L6,809,802,கருங்குமுதம்,NDA1.7,Karuṅkumutam,corneal eye disease with blackish fleshy growth over the cornea and vision loss,it is characterised by corneal eye disease with blackish fleshy growth over the cornea and vision loss. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets decreased.,"Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.173"
L6,810,802,விரண சுக்கிரன்,NDA1.8,Viraṇa Cukkiraṉ,corneal ucers which closes the pupil,it is characterised by corneal ucers which closes the pupil. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal oon gets decreased.,"Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.179"
L6,811,802,கருத்த சுக்கிரன்,NDA1.9,Karutta Cukkiraṉ,corneal eye disease with blackish corneal ulcers,it is characterised by corneal eye disease with blackish fleshy growth over the cornea and vision loss. It is explained by dearangement of vatham ( nagan and koorman) and pitham( aalosaga pitham). In udalthathukkal moolai gets decreased.,"Anonymous,(1923),Agathiyar- Nagamunivar Nayanavithi (2 nd edition) ,Arulmigu Palani Dhandayuthapaniswami kovil Nool Veliyedu, pg.no.179"
